attribute,label,support,precision,recall,f1-score,chi-square,p-value,mutual_info
ethnicity,AFRICAN,14,0.9285714285714286,0.006944444444444444,0.01378579003181336,0.0,1.0,3.1370646057012758e-06
ethnicity,ASIAN,66,0.9848484848484849,0.034722222222222224,0.06707946336429307,1.9408321340844608,0.16357821076944248,0.0009552097842247349
ethnicity,MIXED,14,1.0,0.007478632478632479,0.01484623541887593,0.1883030111882076,0.6643327753502626,0.0004646619603100588
ethnicity,OTHER,16,1.0,0.008547008547008548,0.016949152542372885,0.28878530918286455,0.590999986154823,0.00053131859811021
ethnicity,WHITE,1890,0.9333333333333333,0.9423076923076923,0.937799043062201,3.3100258794703246,0.06885840768033162,0.0013776136698456258
gender,FEMALE,1226,0.9363784665579119,0.6132478632478633,0.7411233053582957,0.0,1.0,1.8917217901870398e-06
gender,MALE,774,0.9354005167958657,0.38675213675213677,0.5472411186696902,0.0,1.0,1.8917217901870398e-06
hair_color,BALD,8,1.0,0.004273504273504274,0.00851063829787234,0.0003016875193079997,0.9861421167861608,0.0002651077318229396
hair_color,BLACK,1484,0.9359838274932615,0.7419871794871795,0.8277711561382599,0.0,1.0,6.279383388263504e-09
hair_color,BLONDE,258,0.9341085271317829,0.12873931623931623,0.22629107981220653,0.0,1.0,4.388623334662667e-06
hair_color,BROWN,102,0.9411764705882353,0.05128205128205128,0.09726443768996959,0.0001352053434741125,0.9907225803227206,1.2317395531834252e-05
hair_color,GREY,112,0.9285714285714286,0.05555555555555555,0.10483870967741934,0.017403248749249763,0.8950464828801115,2.644805728695479e-05
hair_color,LIGHT BROWN,32,0.9375,0.016025641025641024,0.031512605042016806,0.0,1.0,3.0757917570973375e-07
hair_color,OTHER,2,1.0,0.0010683760683760685,0.0021344717182497333,0.0,1.0,6.617401412753899e-05
hair_color,RED,2,1.0,0.0010683760683760685,0.0021344717182497333,0.0,1.0,6.617401412753899e-05
hair_length,BALD,8,1.0,0.004273504273504274,0.00851063829787234,0.0003016875193079997,0.9861421167861608,0.0002651077318229396
hair_length,LONG,846,0.9444444444444444,0.4268162393162393,0.5879323031640913,1.5095838766896583,0.21920259407603385,0.00044210575181391487
hair_length,PONYTAIL,36,1.0,0.019230769230769232,0.03773584905660378,1.536750117983146,0.21510219253641166,0.001201732784635312
hair_length,SHORT,1108,0.9268953068592057,0.5486111111111112,0.6892617449664431,3.1054576347750906,0.07803029861325646,0.000872357806343621
hair_length,UNKNOW,2,1.0,0.0010683760683760685,0.0021344717182497333,0.0,1.0,6.617401412753899e-05
is_ears_visible,False,472,0.923728813559322,0.2329059829059829,0.3720136518771331,1.296428265169252,0.25486667417339237,0.0003738489001024192
is_ears_visible,True,1528,0.9397905759162304,0.7670940170940171,0.8447058823529411,1.2964282651692522,0.2548666741733924,0.0003738489001024192
